district,year,residue_tonnes
Kachchh,2013,2562116.6
Kachchh,2014,1581564.3
Kachchh,2015,1574658.1
Kachchh,2016,1481766.2
Kachchh,2017,1808120.8
Kachchh,2018,758616.3
Kachchh,2019,1396996.0
Kachchh,2020,1432416.4
Kachchh,2021,1058167.57
Kachchh,2022,2305464.6
Kheda,2010,1516060.0
Kheda,2011,1460130.0
Kheda,2012,1323650.0
Kheda,2013,1409098.1
Kheda,2014,1176815.9
Kheda,2015,1053298.9
Kheda,2016,1092419.5
Kheda,2017,1186123.8
Kheda,2018,1411100.4
Kheda,2019,1306125.5
Kheda,2020,1273593.5
Kheda,2021,1149702.46
Kheda,2022,1341159.3
Mahesana,2010,1701520.0
Mahesana,2011,2190410.0
Mahesana,2012,1732890.0
Mahesana,2013,1524597.7
Mahesana,2014,1575241.9
Mahesana,2015,1439236.9
Mahesana,2016,1286360.3
Mahesana,2017,1556268.9
Mahesana,2018,1376761.3
Mahesana,2019,1483523.8
Mahesana,2020,1480502.9
Mahesana,2021,1084513.13
Mahesana,2022,1570793.1
Mahisagar,2014,496988.7
Mahisagar,2015,392532.6
Mahisagar,2016,489809.8
Mahisagar,2017,437928.0
Mahisagar,2018,438690.2
Mahisagar,2019,469275.9
Mahisagar,2020,369946.8
Mahisagar,2021,452497.55
Mahisagar,2022,613845.1
Morbi,2014,1427354.1
Morbi,2015,708990.1
Morbi,2016,989584.3
Morbi,2017,988317.2
Morbi,2018,824806.7
Morbi,2019,1005249.8
Morbi,2020,812536.6
Morbi,2021,649143.22
Morbi,2022,2868431.1
Narmada,2010,762590.0
Narmada,2011,780470.0
Narmada,2012,491990.0
Narmada,2013,538538.9
Narmada,2014,590327.9
Narmada,2015,630353.6
Narmada,2016,483607.9
Narmada,2017,622748.9
Narmada,2018,732731.8
Narmada,2019,700858.4
Narmada,2020,769846.4
Narmada,2021,231304.61
Narmada,2022,746018.3
Navsari,2010,849370.0
Navsari,2011,729820.0
Navsari,2012,280000.0
Navsari,2013,499178.9
Navsari,2014,666026.1
Navsari,2015,509876.9
Navsari,2016,505460.8
Navsari,2017,532956.5
Navsari,2018,487401.9
Navsari,2019,532610.7
Navsari,2020,520049.39999999997
Navsari,2021,576630.5
Navsari,2022,561364.8
Panch Mahals,2010,675830.0
Panch Mahals,2011,905290.0
Panch Mahals,2012,1096250.0
Panch Mahals,2013,1092766.2
Panch Mahals,2014,517683.4
Panch Mahals,2015,415204.8
Panch Mahals,2016,623991.8
Panch Mahals,2017,601471.1
Panch Mahals,2018,644421.1
Panch Mahals,2019,688392.5
Panch Mahals,2020,557077.9
Panch Mahals,2021,418968.57
Panch Mahals,2022,666504.5
Patan,2010,1146750.0
Patan,2011,1606970.0
Patan,2012,1168270.0
Patan,2013,1270888.4
Patan,2014,1306208.9
Patan,2015,1103898.3
Patan,2016,1035721.3
Patan,2017,1062440.1
Patan,2018,779566.2
Patan,2019,994197.2
Patan,2020,1124644.0
Patan,2021,888182.61
Patan,2022,1410003.7
Porbandar,2010,368410.0
Porbandar,2011,540120.0
Porbandar,2012,76780.0
Porbandar,2013,683047.4
Porbandar,2014,503478.1
Porbandar,2015,135084.3
Porbandar,2016,488106.5
Porbandar,2017,474895.9
