district,crop,croparea_ha,share_pct
Navsari,maize,5476.9,3.52
Navsari,sorghum,4661.6,3.0
Navsari,castor,3316.7,2.13
Valsad,TOTAL,157465.7,100.0
Valsad,rice,44511.6,28.27
Valsad,soybean,31990.6,20.32
Valsad,millet,14215.3,9.03
Valsad,sugarcane,10440.9,6.63
Valsad,maize,7341.2,4.66
Valsad,pigeonpea,6521.0,4.14
Valsad,sorghum,6245.0,3.97
Valsad,castor,3175.1,2.02
Mahisagar,TOTAL,148746.9,100.0
Mahisagar,cotton,19476.9,13.09
Mahisagar,rice,16859.1,11.33
Mahisagar,maize,15802.8,10.62
Mahisagar,millet,14955.4,10.05
Mahisagar,pigeonpea,12832.1,8.63
Mahisagar,wheat,10184.7,6.85
Mahisagar,chickpea,9405.7,6.32
Mahisagar,sorghum,6593.4,4.43
Dohad,TOTAL,308780.2,100.0
Dohad,wheat,59981.3,19.43
Dohad,chickpea,46914.9,15.19
Dohad,soybean,42588.2,13.79
Dohad,cotton,34377.3,11.13
Dohad,maize,18599.0,6.02
Dohad,rice,17951.6,5.81
Dohad,millet,17681.9,5.73
Dohad,pigeonpea,12584.5,4.08
The Dangs,TOTAL,58328.5,100.0
The Dangs,soybean,14364.7,24.63
The Dangs,rice,11547.6,19.8
The Dangs,millet,6355.1,10.9
The Dangs,maize,5996.3,10.28
The Dangs,groundnut,5017.2,8.6
The Dangs,pigeonpea,4754.4,8.15
The Dangs,sorghum,2738.8,4.7
The Dangs,chickpea,2345.3,4.02
